序号,代码,名称,最新价,涨跌额,涨跌幅,开盘价,最高价,最低价,昨收价,振幅,最新行情时间
1,RTS,俄罗斯RTS,1075.77,36.99,3.56,1052.09,1081.06,1052.09,1038.78,2.79,2025-10-17 18:34:49
2,BDI,波罗的海BDI指数,2046.0,49.0,2.45,2046.0,2046.0,2046.0,1997.0,0.0,2025-10-16 12:57:25
3,MXX,墨西哥BOLSA,62544.56,907.02,1.47,61652.45,62920.8,61611.33,61637.54,2.12,2025-10-17 04:23:19
4,CSEALL,斯里兰卡科伦坡,22610.75,194.6,0.87,22416.15,22614.67,22393.87,22416.15,0.99,2025-10-17 16:59:57
5,SENSEX,印度孟买SENSEX,83952.19,484.53,0.58,83330.11,84171.42,83307.27,83467.66,1.04,2025-10-17 18:00:00
6,KOSPI200,韩国KOSPI200,525.48,1.03,0.2,522.18,532.28,520.58,524.45,2.23,2025-10-17 14:29:59
7,CRB,路透CRB商品指数,293.85,0.24,0.08,293.85,293.85,293.85,293.61,0.0,2025-10-17 01:00:01
8,KS11,韩国KOSPI,3748.89,0.52,0.01,3732.76,3794.87,3722.07,3748.37,1.94,2025-10-17 14:29:59
9,PSI,菲律宾马尼拉,6089.53,-4.14,-0.07,6120.45,6120.45,6077.44,6093.67,0.71,2025-10-17 14:50:17
10,UDI,美元指数,98.25,-0.11,-0.11,98.36,98.39,98.03,98.36,0.37,2025-10-17 18:34:59
11,BVSP,巴西BOVESPA,142200.0,-404.0,-0.28,142603.5,143191.0,141446.0,142604.0,1.22,2025-10-17 03:58:59
12,KLSE,富时马来西亚KLCI,1607.18,-5.11,-0.32,1613.69,1616.36,1604.72,1612.29,0.72,2025-10-17 17:05:00
13,NDX,纳斯达克,22562.54,-107.54,-0.47,22764.4,22886.87,22404.69,22670.08,2.13,2025-10-17 04:00:00
14,TSX,加拿大S&P/TSX,30458.8,-178.32,-0.58,30749.68,30790.61,30374.95,30637.12,1.36,2025-10-17 03:59:46
15,STI,富时新加坡海峡时报,4328.93,-27.27,-0.63,4337.4,4348.62,4311.65,4356.2,0.85,2025-10-17 17:20:00
16,SPX,标普500,6629.07,-41.99,-0.63,6689.02,6709.34,6593.99,6671.06,1.73,2025-10-17 03:59:47
17,DJIA,道琼斯,45952.24,-301.07,-0.65,46289.09,46422.34,45781.18,46253.31,1.39,2025-10-17 03:59:47
18,NZ50,新西兰50,13289.21,-99.89,-0.75,13389.1,13389.1,13274.61,13389.1,0.86,2025-10-17 11:45:06
19,FCHI,法国CAC40,8126.09,-62.5,-0.76,8185.89,8185.89,8053.06,8188.59,1.62,2025-10-17 18:20:00
20,AS51,澳大利亚标普200,8995.3,-73.1,-0.81,9031.0,9068.4,8990.1,9068.4,0.86,2025-10-17 12:59:44
21,AORD,澳大利亚普通股,9293.2,-82.7,-0.88,9339.1,9375.9,9287.5,9375.9,0.94,2025-10-17 12:59:44
22,IBEX,西班牙IBEX35,15468.9,-176.9,-1.13,15450.8,15588.2,15431.2,15645.8,1.0,2025-10-17 18:19:57
23,PSI20,葡萄牙PSI20,8239.8,-101.03,-1.21,8285.84,8285.84,8206.76,8340.83,0.95,2025-10-17 18:20:00
24,KSE100,巴基斯坦卡拉奇,163657.52,-2059.43,-1.24,164365.25,164983.07,163480.61,165716.95,0.91,2025-10-17 15:00:00
25,TWII,台湾加权,27302.37,-345.5,-1.25,27399.91,27513.09,27302.37,27647.87,0.76,2025-10-17 13:25:25
26,FTSE,英国富时100,9316.4,-119.69,-1.27,9436.11,9436.11,9276.91,9436.09,1.69,2025-10-17 18:35:04
27,SET,泰国SET,1274.61,-16.85,-1.3,1282.52,1289.73,1274.1,1291.46,1.21,2025-10-17 17:29:51
28,WIG,波兰WIG,106724.99,-1489.72,-1.38,107485.86,107485.86,106008.11,108214.71,1.37,2025-10-17 18:20:00
29,ICEXI,冰岛ICEX,2150.98,-30.11,-1.38,2181.09,2181.09,2146.85,2181.09,1.57,2025-10-17 18:34:55
30,AEX,荷兰AEX,945.76,-13.24,-1.38,945.29,947.57,941.88,959.0,0.59,2025-10-17 18:20:00
31,SSMI,瑞士SMI,12520.72,-181.36,-1.43,12566.46,12568.57,12476.92,12702.08,0.72,2025-10-17 18:20:00
32,N225,日经225,47582.15,-695.59,-1.44,47820.97,48140.9,47494.31,48277.74,1.34,2025-10-17 14:30:00
33,SX5E,欧洲斯托克50,5568.56,-83.45,-1.48,5618.48,5618.48,5555.25,5652.01,1.12,2025-10-17 18:20:00
34,HSCCI,红筹指数,4009.56,-62.07,-1.52,4069.91,4095.33,3998.4,4071.63,2.38,2025-10-17 16:08:30
35,MCX,英国富时250,21648.87,-342.49,-1.56,21991.3,21991.3,21587.14,21991.36,1.84,2025-10-17 18:35:04
36,HEX,芬兰赫尔辛基,11156.09,-186.18,-1.64,11241.19,11241.93,11123.83,11342.27,1.04,2025-10-17 18:34:55
37,PX,布拉格指数,2338.51,-40.02,-1.68,2374.84,2375.18,2337.71,2378.53,1.58,2025-10-17 18:34:36
38,BFX,比利时BFX,4923.73,-87.12,-1.74,4961.29,4961.96,4913.03,5010.85,0.98,2025-10-17 18:20:00
39,OMXSPI,瑞典OMXSPI,2692.17,-49.66,-1.81,2716.21,2717.25,2682.4,2741.83,1.27,2025-10-17 18:35:05
40,AXX,富时AIM全股,775.43,-14.46,-1.83,789.38,789.38,774.86,789.89,1.84,2025-10-17 18:35:00
41,VNINDEX,越南胡志明,1732.7,-34.15,-1.93,1766.85,1777.35,1725.12,1766.85,2.96,2025-10-17 15:45:10
42,000001,上证指数,3839.76,-76.47,-1.95,3912.04,3921.06,3835.36,3916.23,2.19,2025-10-17 16:11:42
43,OSEBX,挪威OSEBX,1611.58,-32.29,-1.96,1642.78,1643.82,1606.13,1643.87,2.29,2025-10-17 18:35:03
44,MIB,富时意大利MIB,41496.99,-877.19,-2.07,41681.78,41711.57,41360.08,42374.18,0.83,2025-10-17 18:35:04
45,GDAXI,德国DAX30,23751.24,-520.95,-2.15,23833.11,23833.11,23684.37,24272.19,0.61,2025-10-17 18:20:05
46,ISEQ,爱尔兰综合,11389.39,-262.31,-2.25,11600.48,11600.48,11380.52,11651.7,1.89,2025-10-17 18:19:45
47,000300,沪深300,4514.23,-104.19,-2.26,4610.7,4618.56,4509.33,4618.42,2.37,2025-10-17 16:12:00
48,HSI,恒生指数,25247.1,-641.41,-2.48,25851.94,25859.82,25145.34,25888.51,2.76,2025-10-17 16:08:30
49,JKSE,印尼雅加达综合,7915.66,-209.1,-2.57,8133.28,8135.78,7856.48,8124.76,3.44,2025-10-17 17:00:00
50,ATX,奥地利ATX,4552.82,-122.39,-2.62,4664.12,4664.12,4552.41,4675.21,2.39,2025-10-17 18:19:52
51,HSCEI,国企指数,9011.97,-247.49,-2.67,9259.65,9259.65,8973.2,9259.46,3.09,2025-10-17 16:08:30
52,ASE,希腊雅典ASE,1959.46,-54.3,-2.7,1988.99,1990.37,1957.09,2013.76,1.65,2025-10-17 18:19:00
53,399005,中小100,7815.57,-238.73,-2.96,8046.68,8047.6,7806.78,8054.3,2.99,2025-10-17 15:34:57
54,399001,深证成指,12688.94,-397.47,-3.04,13060.24,13091.76,12677.44,13086.41,3.17,2025-10-17 15:34:24
55,399006,创业板指,2935.37,-102.07,-3.36,3026.4,3042.29,2932.68,3037.44,3.61,2025-10-17 15:34:51
56,OMXC20,OMX哥本哈根20,1552.38,-58.96,-3.66,1569.12,1575.98,1550.19,1611.34,1.6,2025-10-17 18:35:05
